#{"t_start": 1625484542.3926022, "env_id": null}
r,l,t
-7.8136897,675,26.267742
7.9738836,675,26.267742
7.1384,675,26.267742
0.8697995,675,26.267742
5.5590835,675,26.267742
-3.5965927,675,26.267742
6.394638,675,26.267742
-6.044974,675,26.267742
-8.627642,675,26.267742
-7.5676155,675,26.267742
-19.451952,675,26.267742
-2.9352248,675,26.267742
-6.1331296,675,26.267742
-11.42272,675,26.267742
-4.117897,675,26.267742
-6.2757554,675,26.267742
6.9310374,675,26.267742
-7.300903,675,26.267742
-17.133904,675,26.267742
9.411671,675,26.267742
13.27344,675,26.267742
-12.847434,675,26.267742
-15.598982,675,26.267742
-15.390204,675,26.267742
-17.991934,675,26.267742
-1.4856982,675,26.267742
-16.50713,675,26.267742
-16.936024,675,26.267742
-13.074706,675,26.267742
-15.726845,675,26.267742
7.807473,675,26.267742
-6.0403643,675,26.267742
-17.43218,675,26.267742
1.8493488,675,26.267742
6.2501254,675,26.267742
0.5188321,675,26.267742
-17.981619,675,26.267742
6.3639812,675,26.267742
-25.0485,675,26.267742
5.540733,675,26.267742
1.0945861,675,26.267742
6.960376,675,26.267742
-17.478796,675,26.267742
2.5596304,675,26.267742
2.5659041,675,26.267742
-9.058805,675,26.267742
-15.484336,675,26.267742
8.480626,675,26.267742
2.5087812,675,26.267742
5.469255,675,26.268739
-15.542448,675,26.268739
-1.4873731,675,26.268739
-6.8608785,675,26.268739
-5.076269,675,26.268739
9.448333,675,40.855511
-4.9843035,675,40.855511
0.38910887,675,40.855511
12.485863,675,40.855511
6.14021,675,40.855511
6.805105,675,40.855511
-7.0463862,675,40.855511
8.027518,675,40.855511
-6.756992,675,40.855511
-10.808482,675,40.855511
-0.1916249,675,40.855511
-11.43269,675,40.855511
-1.5342834,675,40.855511
4.2897677,675,40.855511
-5.381159,675,40.855511
-19.797897,675,40.855511
5.219938,675,40.855511
-7.669455,675,40.855511
6.2467966,675,40.855511
-2.1832497,675,40.855511
-11.902886,675,40.855511
6.6399727,675,40.855511
8.196218,675,40.855511
1.9524865,675,40.855511
