#{"t_start": 1625160524.0228438, "env_id": null}
r,l,t
-6.5433917,127,11.569714
15.9529705,127,11.569714
-5.9140344,129,11.620712
15.485727,129,11.620712
25.308367,130,11.637712
4.097536,130,11.637712
-1.7349452,151,12.432711
16.982428,151,12.432711
-5.6239605,66,14.079782
17.34489,66,14.079782
7.4250207,271,15.735781
37.62957,271,15.735781
9.702029,284,16.135823
25.320124,284,16.135823
23.361147,160,16.183833
9.85008,160,16.183833
10.84123,291,16.276825
31.344015,291,16.276825
-4.006405,299,16.523823
27.498648,299,16.523823
12.728368,300,16.552824
22.254246,300,16.562824
6.2619367,304,16.637825
36.18225,304,16.637825
40.732025,318,17.058342
9.472667,318,17.058342
31.600409,123,17.607341
7.7341585,123,17.607341
13.34558,351,17.913341
29.353456,351,17.913341
31.221695,356,18.09234
7.85237,356,18.09234
34.371727,360,18.192343
9.2257595,360,18.192343
40.165337,364,18.279341
8.212885,364,18.279341
46.649204,388,19.049341
19.164845,388,19.049341
62.77571,447,20.611344
33.613396,447,20.611344
28.47017,111,21.29634
5.5879664,111,21.29634
28.721312,344,21.358341
18.220158,344,21.358341
43.86685,475,21.41134
20.827465,475,21.41134
19.873617,159,22.05834
10.391473,159,22.05834
30.155903,223,22.793566
9.053432,223,22.794405
49.507328,527,22.882404
24.810083,527,22.882404
27.326658,536,23.166406
53.25365,536,23.167406
-0.8193619,268,23.896403
28.098806,268,23.896403
37.647778,272,23.896403
11.203527,272,23.896403
58.165558,559,23.896403
52.08689,559,23.896403
21.575108,457,24.625405
37.39198,457,24.625405
20.665352,201,24.697406
23.584467,201,24.697406
-7.7528625,148,24.838405
7.026333,148,24.838405
-5.8720274,66,25.033405
17.284763,66,25.033405
25.394016,257,25.353404
15.96637,257,25.353404
-4.958508,69,25.836405
18.660044,69,25.836405
40.436768,346,25.922404
19.804737,346,25.922404
13.5307455,351,26.451403
35.71591,351,26.451403
38.749954,675,27.175504
33.8533,675,27.175504
39.135128,675,27.175504
29.999847,675,27.175504
48.7089,675,27.175504
35.790806,675,27.175504
56.607815,675,27.175504
53.77701,675,27.175504
46.39878,675,27.175504
34.310333,675,27.175504
48.17535,675,27.175504
23.19119,675,27.175504
28.837921,70,27.972495
3.1557937,70,27.972495
37.24768,433,28.114495
35.225113,433,28.115495
35.803352,278,29.309495
13.842393,278,29.309495
-0.44638836,149,29.637495
19.366524,149,29.637495
46.045834,297,29.881494
21.150385,297,29.881494
28.616053,303,30.698495
11.009431,303,30.698495
57.787422,506,30.953494
37.47332,506,30.953494
43.724384,481,31.864532
25.929304,481,31.864532
46.031376,395,32.688532
20.930416,395,32.688532
7.909983,174,33.178542
26.107332,174,33.178542
31.777212,340,33.905531
32.740383,340,33.905531
35.129913,236,34.263532
14.399105,236,34.263532
27.516901,328,34.584594
37.51247,328,34.584594
37.194267,337,35.093594
37.981007,337,35.093594
38.036587,198,35.244593
8.36555,198,35.244593
32.827496,82,35.646593
5.1975965,82,35.646593
37.972496,303,36.086595
14.746114,303,36.086595
-5.74328,64,36.351594
7.7536454,64,36.351594
55.394436,675,36.531594
57.14828,675,36.531594
56.1372,675,37.433593
48.241352,675,37.433593
-6.6089125,145,37.913594
17.885614,145,37.913594
18.05524,243,37.956593
28.593548,243,37.956593
7.7984023,300,38.435596
37.023537,300,38.435596
56.118523,435,39.638593
19.080444,435,39.638593
17.603737,561,39.936593
42.75459,561,39.936593
54.90164,540,40.214593
32.89666,540,40.214593
