#{"t_start": 1625146166.3198357, "env_id": null}
r,l,t
-2.7084355,132,11.074116
11.848036,132,11.074116
34.900276,263,14.889383
7.8921056,263,14.889383
9.5499,272,15.176386
29.07364,272,15.176386
35.181614,280,15.406384
6.3857164,280,15.406384
35.691257,288,15.713005
5.318391,288,15.714003
40.47471,304,16.209085
5.3895307,304,16.209085
34.94742,335,17.088212
6.828795,335,17.088212
9.27145,338,17.183211
32.6154,338,17.183211
43.67403,357,17.744211
17.999071,357,17.744211
10.478052,388,18.715729
9.495982,388,18.715729
20.406246,394,18.911728
29.557846,394,18.921727
31.69076,394,18.921727
12.758905,394,18.921727
48.641884,407,19.282245
21.276138,407,19.282245
16.246887,420,19.665793
32.294296,420,19.665793
12.664694,426,19.837793
32.400223,426,19.838793
51.555984,430,20.286793
24.523796,430,20.286793
-12.454485,79,20.438793
15.22855,79,20.438793
10.662628,445,20.755793
37.382572,445,20.755793
12.265733,446,20.782793
33.905704,446,20.782793
-3.6438272,72,22.579308
17.397932,72,22.579308
-12.062474,102,23.097309
15.677155,102,23.097309
17.241034,524,23.195309
35.860035,524,23.195309
-1.8184456,81,23.248309
15.550347,81,23.248309
14.804515,276,23.565383
42.926434,276,23.565383
21.275002,556,24.012386
32.508408,556,24.012386
46.624077,445,24.668903
15.325663,445,24.668903
26.164099,582,24.763901
37.418854,582,24.763901
36.630013,329,25.518416
16.471228,329,25.518416
22.559118,613,25.673415
35.131573,613,25.673415
61.97918,628,26.084416
34.611042,628,26.084416
9.175964,239,26.239417
29.409178,239,26.239417
42.832504,307,26.604415
11.052477,307,26.604415
39.75127,333,27.326812
25.46501,333,27.326812
18.853764,131,27.372811
11.081199,131,27.372811
32.310314,675,27.829921
37.259327,675,27.829921
26.326796,675,27.829921
16.851852,675,27.829921
58.918083,675,27.829921
33.85118,675,27.829921
54.564056,675,27.829921
56.00736,675,27.829921
26.92159,71,28.583918
6.0871124,71,28.583918
48.553097,435,28.793436
23.860613,435,28.794437
10.767523,496,31.866227
36.368233,496,31.866227
23.531769,426,32.204228
44.06864,426,32.205229
45.172787,390,32.831228
15.070659,390,32.83223
17.979788,326,33.373263
32.14125,326,33.373263
65.4013,495,34.526264
35.320057,495,34.526264
-5.523342,193,34.578264
16.285984,193,34.578264
34.15748,269,36.218755
11.784953,269,36.218755
6.8640647,291,36.692756
27.387783,291,36.692756
49.3086,675,36.729757
36.945896,675,36.729757
16.589214,354,36.918968
35.28306,354,36.918968
22.108198,574,37.284581
34.7084,574,37.284581
42.355053,414,37.680583
17.189758,414,37.680583
11.910002,478,39.477581
30.8421,478,39.477581
36.47016,67,39.813583
2.840601,67,39.813583
47.101418,412,40.548582
16.799173,412,40.548582
23.14184,292,40.685582
30.808376,292,40.685582
57.925148,573,40.768582
40.569004,573,40.768582
19.359083,575,40.927099
32.520924,575,40.927099
13.986324,675,40.961098
29.817698,675,40.962099
40.77552,675,41.499098
40.71419,675,41.499098
48.31313,283,41.724099
14.756283,283,41.724099
-8.67479,80,42.264644
14.274344,80,42.264644
13.229376,294,42.560644
26.850014,294,42.560644
26.948051,89,42.687644
1.7665919,89,42.687644
51.566746,446,42.873645
21.351032,446,42.873645
18.381426,530,43.425645
36.17517,530,43.425645
43.819973,675,43.515644
40.928253,675,43.515644
27.18239,96,43.859759
2.7089827,96,43.859759
13.5372715,297,43.98676
33.16953,297,43.98676
57.41323,540,44.445761
42.11454,540,44.445761
60.748814,534,44.460759
26.791208,534,44.460759
41.926994,272,44.598276
14.966119,272,44.598276
54.9283,675,44.959273
37.456066,675,44.960275
32.404373,134,45.020275
10.35916,134,45.020275
33.89263,154,45.165275
4.976572,154,45.165275
20.198788,612,45.284276
51.188698,612,45.284276
44.253017,675,45.965794
67.492294,675,45.965794
32.872173,319,46.000793
12.885621,319,46.000793
-9.695447,104,46.115795
16.762514,104,46.115795
39.383587,350,46.479349
17.756235,350,46.479349
23.407513,675,47.312429
39.691624,675,47.312429
29.299862,179,47.443428
20.10425,179,47.443428
-13.668349,168,47.817428
5.9571443,168,47.817428
-3.8152328,158,48.095428
15.782853,158,48.095428
27.593382,115,48.22843
8.755575,115,48.22843
0.62529355,221,48.370428
22.560408,221,48.370428
4.308012,201,48.783428
20.252617,201,48.783428
29.513412,277,49.227957
17.642197,277,49.227957
11.579717,568,49.354962
52.04315,568,49.355958
44.84094,367,49.528956
20.402323,367,49.528956
42.70351,317,49.603956
16.936197,317,49.604956
24.78431,70,49.762958
6.537493,70,49.762958
33.85773,268,49.870958
25.292656,268,49.870958
34.367565,675,49.963955
36.295494,675,49.963955
64.84906,526,50.285475
33.847706,526,50.285475
23.008972,403,50.391986
48.123062,403,50.391986
11.131804,241,50.565988
34.92791,241,50.565988
-2.702429,73,50.642988
15.225341,73,50.643989
22.774307,604,51.215988
27.955194,604,51.215988
-4.226422,67,51.486988
3.9284458,67,51.486988
43.004677,359,51.881986
13.138399,359,51.881986
1.6898313,227,51.882988
23.784678,227,51.882988
-1.0825716,152,52.127987
17.687231,152,52.127987
19.789457,479,52.342987
44.317715,479,52.342987
29.615902,447,52.772988
19.522976,447,52.772988
14.232931,312,52.907987
27.128622,312,52.907987
-2.9826102,178,54.654037
16.81697,178,54.655036
13.459494,581,54.948037
33.099125,581,54.948037
28.450895,254,55.017037
11.561543,254,55.017037
59.850845,457,55.294036
40.633015,457,55.294036
34.343346,630,55.531553
41.81896,630,55.531553
44.612312,675,55.606553
26.258112,675,55.606553
76.00952,675,55.968554
46.999454,675,55.968554
39.77676,366,57.000553
17.139656,366,57.000553
5.7525897,253,57.028553
23.326439,253,57.028553
10.373358,476,57.339553
34.410732,476,57.339553
20.56358,273,57.339553
15.546647,273,57.339553
11.055358,675,57.998554
13.742861,675,57.998554
2.2510223,189,58.416575
11.724979,189,58.416575
23.055906,314,58.804603
31.515114,314,58.804603
37.0282,160,58.922606
9.114262,160,58.922606
38.134293,227,58.950603
8.150447,227,58.950603
37.590782,250,59.002603
12.453565,250,59.002603
32.575516,675,59.468604
37.85655,675,59.468604
18.468397,335,59.495605
42.653236,335,59.495605
31.166084,469,59.564604
47.203915,469,59.564604
22.217325,421,59.683604
31.37877,421,59.683604
33.46371,401,59.961607
16.284414,401,59.961607
35.186375,560,60.135605
39.004623,560,60.135605
59.88296,675,60.153606
31.954283,675,60.154604
33.00777,196,68.957103
24.548168,196,68.957103
38.680748,290,68.985105
