#{"t_start": 1626353817.2431605, "env_id": null}
r,l,t
4.720908,135,12.492738
16.108328,135,12.492738
9.1883,157,13.389811
56.201084,157,13.389811
19.292423,169,13.762808
10.845381,169,13.762808
7.9881196,172,13.820809
26.194868,172,13.820809
6.708809,183,14.391876
27.743807,183,14.392876
47.663982,290,18.697065
12.472925,290,18.697065
48.1254,445,22.540668
23.60535,445,22.541668
41.15218,471,23.029667
49.8581,471,23.029667
35.7737,483,23.275668
31.981226,483,23.275668
58.223026,357,23.444669
59.27043,357,23.444669
26.697746,377,24.331669
49.034042,377,24.345667
85.43693,609,25.642185
81.43227,609,25.642185
73.24473,644,26.221183
57.6224,644,26.221183
95.34929,675,26.778186
45.461365,675,26.778186
62.90105,675,26.778186
69.50329,675,26.778186
82.52707,675,26.778186
92.038704,675,26.778186
55.70145,675,26.778186
62.41176,675,26.778186
46.989616,675,26.778186
83.145836,675,26.778186
46.70766,675,26.778186
48.34722,675,26.778186
37.07219,675,26.778186
70.53603,675,26.778186
40.25528,675,26.778186
95.98612,675,26.778186
56.95685,675,26.778186
113.99621,675,26.778186
42.600468,675,26.779185
40.07739,675,26.779185
98.75995,675,26.779185
38.011486,675,26.779185
45.925964,675,26.779185
73.2219,675,26.779185
79.64603,675,26.779185
111.78677,675,26.779185
37.569206,675,26.779185
99.797585,675,26.779185
46.199413,675,26.779185
59.06207,675,26.779185
125.03933,675,26.779185
73.14248,675,26.779185
53.993397,675,29.800182
48.51853,675,29.800182
69.69256,675,29.852183
43.23499,675,29.852183
47.94079,675,30.026182
81.30671,675,30.026182
42.375893,468,30.900182
98.59239,468,30.900182
55.254757,445,31.283231
30.513613,445,31.283231
123.6895,675,31.725231
43.146378,675,31.725231
60.787823,317,32.160745
15.654128,317,32.160745
32.438805,373,33.045258
66.44366,373,33.045258
33.17072,450,34.225258
82.002075,450,34.225258
63.205025,675,34.561259
93.69043,675,34.561259
33.7516,474,34.605259
83.99176,474,34.605259
58.379543,675,34.75426
60.16112,675,34.75426
13.380408,170,34.81126
39.538708,170,34.81126
158.88388,675,35.571258
60.93697,675,35.572258
40.019833,578,36.258776
86.40381,578,36.258776
27.405525,586,36.402773
68.57441,586,36.402773
62.78607,675,36.744773
72.87268,675,36.744773
86.21925,675,37.272775
62.95567,675,37.272775
40.745266,83,37.664774
6.5564466,83,37.664774
117.98369,675,37.761773
52.43202,675,37.761773
98.50453,675,37.761773
48.13288,675,37.761773
87.2721,675,37.761773
59.61611,675,37.761773
101.48205,675,37.761773
82.09202,675,37.761773
50.94616,675,37.761773
32.697895,675,37.761773
46.57571,675,37.761773
49.998585,675,37.761773
94.092766,675,37.761773
69.35702,675,37.761773
42.046013,675,37.761773
69.52399,675,37.761773
53.334938,675,37.761773
88.64949,675,37.761773
65.887215,675,37.761773
117.193344,675,37.761773
39.389404,65,38.681775
4.4835544,65,38.681775
90.325165,448,38.751774
40.74074,448,38.751774
78.596924,675,40.429778
187.26843,675,40.429778
56.051918,675,40.472775
54.819855,675,40.472775
10.322628,176,40.549773
48.704067,176,40.549773
81.33514,675,40.666773
72.85618,675,40.666773
76.63177,675,41.518805
64.452095,675,41.518805
80.548904,675,41.895806
58.66636,675,41.895806
91.32887,503,43.488908
58.081055,503,43.488908
52.19614,675,43.966911
73.98083,675,43.966911
27.029789,399,44.337908
100.83139,399,44.337908
36.585575,406,44.440908
46.35451,406,44.440908
85.45445,675,45.167909
62.172523,675,45.168909
44.18884,462,45.363909
103.41891,462,45.363909
72.24176,675,45.501907
75.698364,675,45.501907
122.93855,675,45.552909
52.251972,675,45.552909
37.274063,675,45.691909
60.98284,675,45.691909
58.23555,675,45.764908
60.12276,675,45.764908
37.32663,127,46.402908
9.637605,127,46.402908
47.269024,675,47.24991
83.33149,675,47.24991
14.10795,241,47.656908
9.799322,241,47.656908
74.95062,675,47.752909
68.599174,675,47.752909
53.78258,675,48.303907
78.51925,675,48.303907
71.98699,462,48.318909
61.432293,462,48.318909
62.731514,675,48.775965
73.165924,675,48.775965
76.24892,675,48.775965
72.46886,675,48.775965
69.80836,675,48.775965
120.813835,675,48.775965
35.441284,675,48.775965
77.45806,675,48.775965
111.458626,675,48.775965
59.233974,675,48.776966
52.99644,675,48.776966
69.08151,675,48.776966
72.10332,660,57.795964
120.80787,660,57.795964
58.804203,675,58.100965
47.848217,675,58.100965
53.75172,367,58.128965
42.180775,367,58.128965
53.44302,675,59.745006
56.142647,675,59.745006
96.306854,675,59.800006
82.657425,675,59.800006
79.26643,675,59.859007
95.700134,675,59.859007
104.70447,675,60.859006
54.449028,675,60.859006
82.288635,675,61.245006
95.39508,675,61.245006
58.677612,320,62.176008
36.825226,320,62.176008
72.88278,632,62.898007
84.33095,632,62.898007
9.520103,197,64.081007
21.941896,197,64.081007
69.023415,675,64.312007
53.984417,675,64.312007
59.179287,675,64.494007
50.63773,675,64.494007
105.237976,675,64.630008
78.90187,675,64.630008
53.66633,675,64.673007
80.26581,675,64.674007
66.04919,675,64.813007
71.185005,675,64.813007
59.808548,675,64.870005
95.95351,675,64.870005
71.915726,675,65.481005
82.016785,675,65.481005
69.23462,640,65.742008
103.075325,640,65.742008
71.592155,675,66.694007
43.800056,675,66.694007
99.23608,675,66.788524
44.838425,675,66.788524
41.847115,675,67.342523
114.57807,675,67.342523
76.317924,675,67.368525
90.20144,675,67.368525
63.261948,503,67.787524
68.68014,503,67.787524
66.34615,675,67.843524
80.06442,675,67.843524
75.39013,675,67.843524
68.02943,675,67.843524
77.38598,675,67.843524
40.320263,675,67.843524
66.03339,675,67.843524
79.1071,675,67.843524
85.838684,675,67.843524
56.141,675,67.843524
59.748016,512,67.978527
81.21434,512,67.978527
63.54333,675,68.541524
81.96294,675,68.541524
51.354137,675,68.835523
91.50216,675,68.835523
83.98471,675,68.863527
58.718662,675,68.863527
54.461407,151,70.219522
10.124889,151,70.219522
51.08882,88,70.249523
6.419967,88,70.249523
69.311,675,70.611524
49.290997,675,70.611524
56.854538,331,71.921522
40.413795,331,71.921522
93.91814,675,71.964522
37.258904,675,71.964522
91.32711,499,72.495524
67.58931,499,72.495524
72.92903,675,72.908522
64.142235,675,72.908522
