#{"t_start": 1625075721.7780387, "env_id": null}
r,l,t
-1.8330078,128,10.936152
11.67273,128,10.937152
29.453861,191,12.27767
7.5349493,191,12.27767
0.6648288,195,12.360668
17.382572,195,12.360668
-0.96068,241,13.415702
23.716524,241,13.415702
31.749409,286,14.384795
11.777661,286,14.384795
3.054031,290,14.474795
30.138878,290,14.474795
2.5826478,309,14.887794
41.583847,309,14.887794
29.697855,135,15.359315
3.3732328,135,15.360316
47.62612,369,16.289315
17.001055,369,16.289315
38.99711,373,16.386315
8.091164,373,16.386315
12.517851,381,16.554315
16.072115,381,16.563314
47.462208,389,16.732315
22.382511,389,16.732315
47.68659,397,16.932317
14.571607,397,16.933315
16.74312,401,17.001315
36.95584,401,17.001315
19.576624,409,17.194314
18.789066,409,17.194314
46.55472,411,17.231316
13.885051,411,17.231316
40.663166,417,17.440314
10.273387,417,17.440314
25.77521,63,18.657835
3.31344,63,18.657835
39.93337,85,19.351414
3.306456,85,19.351414
48.742947,518,19.701416
21.885357,518,19.701416
-0.36774966,153,20.467415
20.632177,153,20.467415
20.696255,554,20.605415
44.58024,554,20.606415
57.785244,561,20.758471
26.387009,561,20.758471
27.158138,72,21.06647
2.8498108,72,21.06647
37.553455,316,21.748496
21.19941,316,21.748496
19.6844,485,22.026526
45.97375,485,22.026526
0.7183552,155,22.343042
22.201323,155,22.343042
65.071075,655,22.960044
28.957464,655,22.961043
61.76976,675,23.359042
40.151226,675,23.359042
55.315193,675,23.359042
32.62344,675,23.359042
45.39125,675,23.359042
34.218876,675,23.359042
44.73141,675,23.359042
46.630836,675,23.359042
37.722824,675,23.359042
34.343765,675,23.359042
30.179525,675,23.359042
36.192215,675,23.359042
42.529808,675,23.359042
17.337719,675,23.359042
26.147255,430,24.812077
47.791695,430,24.812077
32.239056,170,26.093142
11.570548,170,26.093142
18.81402,466,27.107704
47.251728,466,27.107704
44.119946,675,27.788704
61.364544,675,27.788704
2.3144119,205,28.003738
24.65808,205,28.003738
4.15192,268,28.018741
33.30851,268,28.018741
24.25363,473,28.10074
53.001526,473,28.10074
33.497185,329,28.226739
29.630468,329,28.227739
31.31399,675,28.857767
33.911083,675,28.857767
36.98769,255,29.188769
16.319134,255,29.188769
66.26966,530,29.208769
27.984692,530,29.208769
27.685715,64,29.263768
1.6408497,64,29.263768
44.905125,675,29.954826
26.914408,675,29.954826
5.0917325,311,29.987827
31.59037,311,29.987827
51.484226,386,30.467826
18.075064,386,30.467826
42.85056,675,30.759826
43.253063,675,30.759826
40.53821,472,31.216826
30.40689,472,31.216826
6.8148947,299,31.598841
30.718756,299,31.598841
27.428343,675,31.723826
41.621353,675,31.723826
13.460228,258,31.938826
32.60998,258,31.938826
43.818317,675,31.973826
32.83482,675,31.973826
45.95534,675,32.156826
36.90665,675,32.156826
36.490074,232,32.300342
23.165827,232,32.300342
29.35842,160,32.767344
6.7089496,160,32.767344
28.47585,171,33.100862
6.3257,171,33.100862
36.138363,554,33.618862
43.684555,554,33.618862
13.094818,456,33.681374
51.469025,456,33.681374
39.97633,675,35.063894
48.330227,675,35.063894
53.837658,521,35.157894
29.166515,521,35.157894
-0.5702711,145,35.268894
19.844448,145,35.268894
0.63358676,184,35.728893
25.571299,184,35.728893
8.181637,675,35.877894
29.467482,675,35.877894
15.549395,65,36.584894
3.0924225,65,36.584894
16.898764,385,36.699894
33.757423,385,36.699894
63.67902,595,36.802893
38.310955,595,36.802893
38.766586,388,37.556895
22.45485,388,37.556895
28.909811,134,38.043928
10.513233,134,38.043928
-0.15718134,125,38.472927
19.78663,125,38.472927
56.540512,675,38.539927
38.741566,675,38.540929
32.212307,675,38.540929
48.314922,675,38.540929
43.21997,468,38.720928
36.02458,468,38.720928
21.685984,419,39.336927
37.037693,419,39.336927
39.33907,305,39.572585
11.186467,305,39.572585
34.575138,269,39.663586
9.671868,269,39.663586
12.260612,351,39.795586
39.115387,351,39.795586
2.1306424,195,40.161102
22.0129,195,40.161102
29.482346,407,40.716101
22.431637,407,40.716101
22.970703,574,40.881102
68.59387,574,40.881102
35.05899,369,41.215101
17.184969,369,41.215101
14.998785,406,41.310101
39.322895,406,41.310101
18.200647,600,41.373101
70.02823,600,41.373101
18.21808,515,41.373101
44.595715,515,41.373101
33.513947,167,41.710102
11.359708,167,41.710102
10.796224,202,41.976101
24.484762,202,41.976101
31.948753,307,42.041101
17.963846,307,42.041101
16.075397,70,42.313103
2.4954863,70,42.313103
-6.391048,64,42.738104
6.713658,64,42.738104
50.77798,542,42.798103
29.758497,542,42.798103
-0.28753996,191,42.930101
18.358656,191,42.930101
14.813957,290,43.200103
42.232227,290,43.200103
-5.563858,172,43.397677
18.455353,172,43.397677
29.16147,71,43.673806
2.7654746,71,43.673806
28.23051,675,44.284833
43.26566,675,44.284833
-5.239778,64,44.744833
7.626445,64,44.744833
47.42898,675,45.715455
40.118637,675,45.716456
72.357994,674,46.547452
40.023575,674,46.547452
16.34218,356,46.685455
40.2853,356,46.685455
32.477142,176,47.230453
13.367332,176,47.230453
44.157803,207,47.338454
11.443432,207,47.338454
22.132795,675,47.614454
35.630554,675,47.614454
3.2698522,294,47.991454
28.78543,294,47.991454
25.214417,375,48.193454
32.245102,375,48.193454
33.880993,634,48.225454
56.61409,634,48.225454
22.025759,464,49.589006
51.268932,464,49.589006
5.747707,238,49.637004
24.54515,238,49.637004
38.786346,427,49.879004
34.7044,427,49.879004
10.088204,362,50.202037
54.954315,362,50.202037
39.794,309,50.384036
16.927996,309,50.384036
22.201744,456,50.634036
42.546577,456,50.634036
14.706034,270,52.143136
32.216366,270,52.143136
43.732872,675,52.200135
33.150906,675,52.200135
-10.104113,336,52.314134
26.330265,336,52.314134
19.146063,675,52.314134
35.578823,675,52.314134
6.474624,267,52.799135
15.081731,267,52.799135
32.459362,205,52.883135
8.242821,205,52.883135
42.978733,306,53.806207
19.71179,306,53.806207
17.916212,389,53.897207
50.632668,389,53.898206
54.734623,672,54.126209
24.537653,672,54.127209
-3.83,180,54.301207
20.368265,180,54.301207
-1.3890039,175,54.472208
19.954113,175,54.472208
28.0802,580,63.304395
47.33232,580,63.304395
14.076311,62,63.927394
0.6131306,62,63.927394
20.899979,675,64.539393
36.358677,675,64.539393
44.294704,675,65.744395
59.708984,675,65.744395
25.927477,621,65.931396
39.693676,621,65.931396
39.872726,675,66.067397
54.025883,675,66.068397
36.648388,675,66.307395
38.781567,675,66.307395
31.325905,385,66.747395
22.665577,385,66.747395
5.9879045,196,66.889395
29.355293,196,66.889395
43.02978,675,67.615438
35.962482,675,67.615438
50.797176,519,67.650438
33.542023,519,67.650438
33.15783,309,67.791437
23.594793,309,67.791437
20.363668,500,67.827436
38.29102,500,67.827436
11.729901,341,68.481435
16.373667,341,68.481435
38.743824,343,68.996437
18.047775,343,68.996437
69.04107,583,69.792025
38.817028,583,69.792025
56.895523,620,69.906541
39.84263,620,69.906541
21.090273,538,70.570541
36.07856,538,70.570541
61.623863,571,70.697538
27.891283,571,70.697538
38.646114,314,70.967138
17.381784,314,70.967138
51.8146,675,71.302139
49.942467,675,71.302139
50.449158,484,71.42714
31.703247,484,71.42714
11.427822,243,71.504138
34.018948,243,71.504138
24.604773,280,71.940655
10.979548,280,71.940655
16.679047,63,72.303175
3.4752622,63,72.304175
16.333925,305,72.586174
37.929577,305,72.586174
-1.6783059,224,72.586174
22.897066,224,72.586174
47.437687,467,72.642173
23.807804,467,72.642173
20.795734,448,72.689174
30.544542,448,72.690176
44.78129,280,72.956691
17.9609,280,72.956691
42.7918,675,73.230688
34.51761,675,73.230688
32.427784,144,73.780222
6.9698725,144,73.780222
-0.12955862,113,75.025773
14.513256,113,75.025773
50.25077,638,75.429775
37.94571,638,75.429775
49.111034,675,75.484772
34.392952,675,75.484772
52.15123,560,75.607772
19.541262,560,75.607772
25.34086,369,75.747773
41.612907,369,75.747773
4.4405417,172,76.351294
17.786777,172,76.351294
21.978907,424,77.604912
46.448807,424,77.604912
43.243767,675,77.727427
61.696564,675,77.728426
17.495,281,78.902978
38.202347,281,78.902978
35.414482,675,78.998978
68.95064,675,78.998978
36.82883,340,79.906978
16.281332,340,79.906978
23.47562,478,79.986978
44.57808,478,79.986978
46.22035,402,80.006977
33.107742,402,80.006977
31.327244,218,80.024977
11.157752,218,80.024977
4.7628508,238,80.056977
21.326197,238,80.056977
38.544502,675,80.171977
49.67299,675,80.171977
7.234793,451,80.188979
37.20751,451,80.188979
18.667194,365,80.378979
37.56505,365,80.378979
20.752144,400,80.813976
31.49273,400,80.813976
14.596564,675,81.167494
28.02403,675,81.167494
19.732548,675,81.990012
28.046354,675,81.990012
19.317291,675,82.007011
57.456463,675,82.007011
59.279434,532,82.794565
36.745575,532,82.794565
-0.115881056,125,82.997564
18.962502,125,82.997564
0.20101109,147,83.092565
7.8649235,147,83.093564
51.903763,675,83.330564
29.849949,675,83.330564
28.533089,580,83.604601
57.786686,580,83.604601
23.057415,311,84.045637
13.639315,311,84.045637
49.05575,675,84.172639
42.017254,675,84.172639
-5.929705,228,84.74067
21.680754,228,84.74067
32.53062,624,85.129671
45.54664,624,85.129671
15.14047,331,85.802743
39.99912,331,85.802743
9.579758,289,86.071743
34.797047,289,86.071743
49.160168,290,86.221745
19.683178,290,86.222744
10.151076,268,86.389743
25.744236,268,86.389743
22.564444,380,86.904773
44.9524,380,86.904773
8.4440155,561,87.228773
26.535868,561,87.228773
-2.8471737,69,87.249772
9.006166,69,87.249772
33.550545,154,87.393772
8.84655,154,87.393772
37.858276,675,87.393772
26.312153,675,87.393772
51.719986,483,87.754811
22.643202,483,87.754811
21.60872,675,87.938811
48.40776,675,87.938811
37.046707,230,88.388808
18.045435,230,88.388808
18.5247,413,88.802809
